36282.0;set(['Mr. OBAMA', 'Mr. REID', 'Mr. SPECTER', 'Mr. ISAKSON', 'Mr. KENNEDY', 'Mr. BINGAMAN', 'Mr. SMITH', 'Mr. MCCONNELL', 'Mr. DOMENICI', 'Mr. CHAMBLISS', 'Mr. SUNUNU', 'Mr. MENENDEZ', 'Mr. HARKIN', 'Mr. CONRAD', 'Mr. DURBIN', 'Mr. FRIST', 'Mr. VOINOVICH', 'Mr. BURNS', 'Mr. CHAFEE', 'Mr. CRAIG', 'Mr. KOHL', 'Mr. AKAKA', 'Mr. LAUTENBERG', 'Mr. SALAZAR', 'Mr. SCHUMER', 'Mr. DAYTON', 'Mr. ALLARD', 'Mr. GREGG', 'Mr. JEFFORDS', 'Mr. TALENT', 'Mr. BYRD', 'Mr. CARPER'])
1259.0;set(['Mr. GILMAN', 'Mr. DAVIS of Illinois', 'Mr. ACKERMAN', 'Mr. BEREUTER', 'Mr. BERMAN', 'Mr. ROHRABACHER', 'Mr. FALEOMAVAEGA', 'Mr. LANTOS'])
53539.0;set(['Mr. WHITEHOUSE', 'Mr. COONS', 'Mr. PORTMAN', 'Mr. MCCAIN', 'Mr. CORNYN', 'Mr. COTTON', 'Mr. WYDEN', 'Mr. BLUMENTHAL', 'Mr. SANDERS', 'Mr. ROUNDS', 'Mr. BENNET', 'Mr. ENZI', 'Mr. THUNE', 'Mr. RUBIO'])
37656.0;set(['Mr. REID', 'Mr. BINGAMAN', 'Mr. MARTINEZ', 'Mr. REED', 'Mr. THOMAS', 'Mr. DOMENICI', 'Mr. SESSIONS', 'Mr. BENNETT', 'Mr. SHELBY', 'Mr. MCCONNELL', 'Mr. LOTT', 'Mr. DURBIN', 'Mr. ALLARD', 'Mr. CRAIG', 'Mr. BOND', 'Mr. President', 'Mr. MENENDEZ', 'Mr. KYL', 'Mr. TALENT', 'Mr. DORGAN', 'Mr. COCHRAN', 'Mr. ALEXANDER'])
9685.0;set(['Mr. OWENS'])
2896.0;set(['Mr. SPENCE', 'Mr. LEACH', 'Mr. HOLT', 'Mr. OBEY'])
53412.0;set(['Mr. WHITEHOUSE', 'Mr. INHOFE', 'Mr. FRANKEN', 'Mr. CASEY', 'Mr. MANCHIN', 'Mr. BROWN', 'Mr. SANDERS', 'Mr. CORNYN', 'Mr. MARKEY', 'Mr. MENENDEZ'])
55629.0;set(['Mr. TILLIS', 'Mr. ROUNDS', 'Mr. CARDIN', 'Mr. GARDNER', 'Mr. COONS', 'Mr. BLUNT', 'Mr. DONNELLY', 'Mr. MERKLEY', 'Mr. MARKEY', 'Mr. LEE', 'Mr. MORAN', 'Mr. PERDUE', 'Mr. CASEY', 'Mr. CORNYN', 'Mr. MCCONNELL', 'Mr. WYDEN', 'Mr. PAUL', 'Mr. PETERS', 'Mr. HOEVEN', 'Mr. MENENDEZ', 'Mr. CORKER'])
3492.0;set(['Mr. GILMAN', 'Mr. MENENDEZ'])
40798.0;set(['Mr. GORDON of Tennessee', 'Mr. HALL of Texas'])
47002.0;set(['Mr. REID', 'Mr. SESSIONS', 'Mr. BAUCUS', 'Mr. VITTER', 'Mr. KOHL', 'Mr. BINGAMAN', 'Mr. CASEY', 'Mr. MERKLEY', 'Mr. BLUMENTHAL', 'Mr. SANDERS', 'Mr. COBURN', 'Mr. DURBIN', 'Mr. LEAHY'])
14041.0;set(['Mr. MOYNIHAN', 'Mr. GRAMS', 'Mr. FEINGOLD', 'Mr. CRAIG', 'Mr. BYRD', 'Mr. HOLLINGS'])
45756.0;set(['Mr. BROWN of Ohio', 'Mr. MCCONNELL', 'Mr. REID', 'Mr. CORKER'])
17225.0;set(['Mr. SMITH of New Hampshire', 'Mr. SPECTER', 'Mr. BENNETT', 'Mr. GRAMS', 'Mr. KERRY', 'Mr. DORGAN', 'Mr. CRAIG', 'Mr. MCCONNELL', 'Mr. BYRD', 'Mr. HOLLINGS', 'Mr. GRAMM', 'Mr. MOYNIHAN', 'Mr. ROTH', 'Mr. THOMPSON', 'Mr. THURMOND'])
27716.0;set(['Mr. FRIST', 'Mr. DORGAN', 'Mr. DASCHLE', 'Mr. REID', 'Mr. BIDEN', 'Mr. BURNS', 'Mr. SHELBY', 'Mr. ROBERTS', 'Mr. BAUCUS', 'Mr. HATCH', 'Mr. CHAMBLISS', 'Mr. LIEBERMAN', 'Mr. CONRAD', 'Mr. ROCKEFELLER', 'Mr. REED', 'Mr. COCHRAN', 'Mr. LEVIN', 'Mr. INOUYE', 'Mr. ENZI', 'Mr. CAMPBELL'])
24574.0;set(['Mr. TAUZIN', 'Mr. DEFAZIO', 'Mr. DINGELL'])
13809.0;set(['Mr. BAUCUS', 'Mr. WELLSTONE', 'Mr. ALLARD', 'Mr. GORTON'])
12611.0;set(['Mr. REID', 'Mr. LEVIN', 'Mr. BENNETT', 'Mr. INHOFE', 'Mr. BINGAMAN', 'Mr. THOMPSON', 'Mr. LOTT', 'Mr. BYRD', 'Mr. WARNER', 'Mr. SESSIONS', 'Mr. TORRICELLI'])
43635.0;set(['Mr. REID', 'Mr. FRANKEN', 'Mr. MCCAIN', 'Mr. BINGAMAN', 'Mr. REED', 'Mr. WARNER', 'Mr. ENZI', 'Mr. PRYOR', 'Mr. RISCH', 'Mr. CHAMBLISS', 'Mr. MCCONNELL', 'Mr. HARKIN', 'Mr. WICKER', 'Mr. DURBIN', 'Mr. THUNE', 'Mr. LEAHY', 'Mr. CARDIN', 'Mr. WYDEN', 'Mr. LAUTENBERG', 'Mr. ISAKSON', 'Mr. GREGG', 'Mr. CRAPO', 'Mr. SANDERS', 'Mr. BROWN of Ohio', 'Mr. ALEXANDER', 'Mr. JOHANNS'])
13010.0;set(['Mr. STEARNS', 'Mr. GILMAN', 'Mr. WOLF', 'Mr. BONIOR', 'Mr. KOLBE', 'Mr. ROEMER', 'Mr. TANCREDO', 'Mr. BASS', 'Mr. BROWN of OHIO', 'Mr. FOLEY', 'Mr. KUCINICH', 'Mr. DREIER', 'Mr. PASCRELL', 'Mr. LEVIN', 'Mr. MASCARA', 'Mr. STARK', 'Mr. VISCLOSKY', 'Mr. HUNTER', 'Mr. ROHRABACHER', 'Mr. BURR of North Carolina', 'Mr. ARCHER', 'Mr. PORTER', 'Mr. BEREUTER', 'Mr. BROWN of Ohio', 'Mr. LIPINSKI', 'Mr. CRANE'])
26129.0;set(['Mr. LEVIN', 'Mr. DASCHLE', 'Mr. REID', 'Mr. SESSIONS', 'Mr. INHOFE', 'Mr. KENNEDY', 'Mr. FEINGOLD', 'Mr. BIDEN', 'Mr. DOMENICI', 'Mr. BYRD', 'Mr. ENSIGN', 'Mr. REED', 'Mr. WARNER', 'Mr. DAYTON', 'Mr. GRAHAM of South Carolina', 'Mr. DURBIN', 'Mr. ALLARD', 'Mr. LEAHY'])
45573.0;set(['Mr. LEAHY', 'Mr. SCHUMER'])
